mc	mn	keysig	timesig	act_dur	offset	repeats	volta	barline	numbering_offset	dont_count	next
1	1	1	4/4	1	0	firstMeasure					2
2	2	1	4/4	1	0						3
3	3	1	4/4	1	0						4
4	4	1	4/4	1	0						5
5	5	1	4/4	1	0			double			6
6	6	1	4/4	1	0						7
7	7	1	4/4	1	0						8
8	8	1	4/4	1	0						9
9	9	1	4/4	1	0						10
10	10	1	4/4	1	0						11
11	11	1	4/4	1	0						12
12	12	1	4/4	1	0						13
13	13	1	4/4	1	0						14
14	14	1	4/4	1	0						15
15	15	1	4/4	1	0						16
16	16	1	4/4	1	0						17
17	17	1	4/4	1	0						18
18	18	1	4/4	1	0						19
19	19	1	4/4	1	0			double			20
20	20	5	6/8	3/4	0						21
21	21	5	6/8	3/4	0						22
22	22	5	6/8	3/4	0						23
23	23	5	6/8	3/4	0						24
24	24	5	6/8	3/4	0						25
25	25	5	6/8	3/4	0						26
26	26	5	6/8	3/4	0						27
27	27	5	6/8	3/4	0			double			28
28	28	-2	4/4	1	0						29
29	29	-2	4/4	1	0						30
30	30	-2	4/4	1	0						31
31	31	-2	4/4	1	0						32
32	32	-2	4/4	1	0						33
33	33	-2	4/4	1	0						34
34	34	-2	4/4	1	0						35
35	35	-2	4/4	1	0						36
36	36	-2	4/4	1	0						37
37	37	-2	4/4	1	0						38
38	38	-2	4/4	1	0						39
39	39	-2	4/4	1	0						40
40	40	-2	4/4	1	0						41
41	41	-2	4/4	1	0						42
42	42	-2	4/4	1	0						43
43	43	-2	4/4	1	0						44
44	44	-2	4/4	1	0						45
45	45	-2	4/4	1	0						46
46	46	-2	4/4	1	0			double			47
47	47	2	6/8	3/4	0						48
48	48	2	6/8	3/4	0						49
49	49	2	6/8	3/4	0						50
50	50	2	6/8	3/4	0						51
51	51	2	6/8	3/4	0						52
52	52	2	6/8	3/4	0						53
53	53	2	6/8	3/4	0						54
54	54	2	6/8	3/4	0						55
55	55	2	6/8	3/4	0						56
56	56	2	6/8	3/4	0						57
57	57	2	6/8	3/4	0						58
58	58	2	6/8	3/4	0						59
59	59	2	6/8	3/4	0						60
60	60	2	6/8	3/4	0						61
61	61	2	6/8	3/4	0						62
62	62	2	6/8	3/4	0						63
63	63	2	6/8	3/4	0						64
64	64	2	6/8	3/4	0						65
65	65	2	6/8	3/4	0						66
66	66	2	4/4	1	0						67
67	67	2	4/4	1	0						68
68	68	2	4/4	1	0						69
69	69	2	4/4	1	0						70
70	70	2	4/4	1	0	lastMeasure		end			-1
